number of reviewer,r_last_interact(month),submitter_last_interact(month),LOC_deleted,issue_resolved_count,size of patch (N_of_files),LOC_replaced,issue_dropped_count,REVIEW_REQ_ID,submitter_Avg_interact(month),number_Reviewer_comments,r_Avg_interact(month),LOC_added,bug_severity,bug_priority,review_time_duration_day,Avg_patch_LOC,Avg_cyclomatic_complexity,defective
1,1,1,7,0,1,0,0,30057,0.603930685,0,0.270474359,2,3,5,25,0,2740,0
1,1,1,14,0,1,0,0,30055,0.603147939,0,0.269350282,5,3,5,25,0,2740,0
1,1,1,3,0,1,0,0,30051,0.601573129,0,0.316016329,45,3,5,25,0,2740,1
1,1,1,4,0,1,0,0,30053,0.601573129,0,0.316016329,2,3,5,25,0,2755,0
1,1,1,1,0,1,0,0,30049,0.599985771,0,0.315079365,1,3,5,25,0,2755,1
1,1,1,1,0,1,0,0,30047,0.599985771,1,0.268222737,1,3,5,25,0,2850,1
1,1,1,31,1,8,0,0,32163,0.59268328,3,0.352326298,59,3,5,9,0,2850,1
1,1,1,2,0,1,0,0,30045,0.59268328,0,0.502954453,1,3,5,25,0,2850,1
2,1,1,215,7,15,0,0,30043,0.579901375,8,0.386963797,464,3,5,25,0,2891,1
1,1,1,8,0,1,0,0,30037,0.57724812,0,0.312253008,14,3,5,25,0,2898,1
1,1,1,0,0,2,0,0,30039,0.57724812,0,0.312253008,149,3,5,25,0,2898,1
1,1,1,64,0,3,0,0,30035,0.573657871,0,0.285434101,176,3,5,25,0,2898,1
1,1,1,27,0,1,0,0,30033,0.573657871,0,0.285434101,19,3,5,25,0,2898,0
1,1,1,35,0,2,0,0,30031,0.571839781,0,0.284548642,0,3,5,25,0,2907,0
1,1,1,0,0,2,0,0,30029,0.569083384,0,0.283660985,19,3,5,25,0,2913,1
1,1,1,17,0,1,0,0,30027,0.569083384,0,0.35129661,0,3,5,25,0,2913,1
1,1,1,8,0,1,0,0,30023,0.566291268,0,0.348187808,13,3,5,25,0,2914,1
1,1,1,11,0,2,0,0,30025,0.566291268,0,0.348187808,21,3,5,25,0,2914,1
