_id,number of reviewer,r_last_interact(month),review_time_duration(sec),defective,submitter_last_interact(month),LOC_deleted,issue_resolved_count,size of patch (N_of_files),LOC_replaced,issue_open_count,issue_dropped_count,REVIEW_REQ_ID,submitter_Avg_interact(month),number_Reviewer_comments,Total_patch_LOC,r_Avg_interact(month),LOC_added,bug_severity,bug_priority,Avg_cyclomatic_complexity
,1,1.0,262928.0,0,1.0,2,0,1,0,0,0,49065,0.5657622376167593,0,451,0.5409745842427864,1,normal,--,956
,1,1.0,92.0,1,1.0,3,0,2,2,0,0,49843,0.660377358490566,0,4476,0.22746164520358192,2,normal,P3,956
,1,1.0,529091.0,0,1.0,47,0,212,0,0,0,48645,0.44430473239700946,0,1891,0.5347479779520085,0,normal,--,956
,1,1.0,529091.0,0,1.0,4,1,3,0,0,0,48641,0.4372883780080754,1,0,0.5322097781590439,4,normal,--,956
,1,1.0,444510.0,0,1.0,4,0,7,0,0,0,48663,0.43728837800807424,0,0,0.5322097781590311,16,normal,--,956
,1,1.0,4066.0,1,1.0,22,0,6,6,0,0,49809,0.14577633938656107,0,6908,0.36111111111111155,56,normal,--,965
,1,1.0,760.0,1,1.0,18,0,2,0,0,0,49783,0.6486524822695021,0,0,0.41916047599966527,26,normal,--,970
,1,1.0,1980.0,0,1.0,9,0,1,7,0,0,49777,0.29574652777777716,0,123,0.2525296349991448,17,normal,--,976
,1,1.0,0.0,1,1.0,19,0,11,0,0,0,49779,0.631398809523807,0,0,0.4131948039510852,1504,enhancement,P1,1177
,1,1.0,0.0,1,1.0,9,0,1,0,0,0,49775,0.29205933682373414,0,0,0.2513884588693727,17,normal,--,1177
,1,1.0,21506.0,1,1.0,13,0,5,0,0,0,49701,0.4499062229437237,0,0,0.3073701167994803,28,normal,--,1177
,1,1.0,7763.0,1,1.0,22,0,6,0,0,0,49737,0.44825097587133866,0,0,0.30586111923259574,27,normal,--,1177
,1,1.0,960.0,0,1.0,0,0,1,0,0,0,49747,0.2888888888888889,0,0,0.3326839826839827,1,normal,--,1177
,1,0.5,854.0,1,0.1111111111111111,0,0,1,0,0,0,49749,0.1111111111111111,0,53,0.3009070294784581,1,normal,--,1177
,1,1.0,16530.0,0,1.0,14,0,1,14,0,0,49683,0.24407359829555791,0,302,0.4094676067852013,14,normal,P1,1183
,1,1.0,87207.0,0,1.0,23,0,2,0,0,0,49463,0.21764328438856353,0,224,0.21682700202337601,0,normal,--,1185
,1,1.0,71999.0,0,1.0,8,0,4,3,0,0,49541,0.40295808391501675,0,11369,0.2482322337161065,69,normal,P2,1191
,1,1.0,157117.0,1,1.0,17,0,2,0,0,0,49279,0.5792560801144483,0,0,0.2710013307365841,20,normal,--,1192
,1,1.0,31691.0,0,1.0,0,0,1,0,0,0,49629,1.0,0,0,0.2371001743947767,4,normal,--,1192
,1,0.25,189835.0,1,1.0,3,0,2,0,0,0,49175,1.0,0,0,0.25,37,normal,--,1196
,2,1.0,24451.0,1,1.0,54,0,18,0,0,0,49637,0.3559904941260918,0,0,0.28943292983469243,361,normal,P2,1215
,1,1.0,24402.0,1,-1,0,0,1,0,0,0,49631,-1,0,5,0.23652221998143924,4,normal,--,1215
,1,1.0,1461.0,0,1.0,9,0,1,0,0,0,49691,0.19128335544744302,0,1099,0.27931343861899405,9,normal,P2,1217
,1,1.0,0.0,1,1.0,9,0,1,0,0,0,49689,0.1901491105041715,0,0,0.2779763578001053,9,normal,P2,1219
,1,1.0,0.0,1,1.0,14,0,1,0,0,0,49681,0.2436676881758409,0,0,0.4081976446492555,14,normal,P1,1220
,1,1.0,689403.0,1,1.0,144,0,9,0,0,0,48013,0.5645833333333352,0,0,0.4460516100188677,397,normal,--,1326
,1,1.0,98879.0,0,1.0,21,0,1,0,0,0,49403,0.31941180310745254,0,0,0.38783800100126564,14,normal,P1,1347
,1,1.0,98879.0,1,1.0,41,0,7,0,0,0,49401,0.31376711427067117,0,0,0.37896608797229314,30,normal,P1,1418
,1,1.0,98878.0,1,1.0,2,0,2,0,0,0,49399,0.31213710741620265,0,0,0.3763838263838232,14,normal,P1,1421
,1,1.0,98878.0,1,1.0,0,0,2,0,0,0,49397,0.31049933862433665,0,13152,0.3737800010242566,8,normal,P1,1422
,1,1.0,0.0,1,1.0,0,0,4,0,0,0,49643,1.0,0,1655,0.948051948051948,40,normal,--,1423
,1,1.0,185655.0,0,1.0,8,1,3,7,0,0,49105,1.0,1,2625,0.5508257174923825,16,normal,P3,1426
,1,1.0,1229415.0,0,-1,0,0,4,0,0,0,46571,-1,1,112,0.5335497835497833,59,normal,P3,1429
,1,1.0,1229414.0,1,-1,8,0,7,0,0,0,46569,-1,0,0,0.5335497835497832,75,normal,P3,1434
,1,1.0,692639.0,0,1.0,113,0,10,0,0,0,47987,0.9705882352941176,0,0,0.2391176707661376,557,normal,--,1515
,1,1.0,692621.0,1,1.0,20,30,6,18,0,0,47989,0.9655172413793104,30,2167,0.23446964187648378,405,normal,--,1553
,1,1.0,692621.0,1,1.0,93,9,4,24,0,0,47991,0.9655172413793104,9,4815,0.23446964187647684,152,normal,--,1587
,1,1.0,11135.0,0,1.0,1,0,1,1,0,0,49593,0.23400171378472454,0,167,0.35507958959161,1,normal,--,1587
,1,1.0,522350.0,1,1.0,29,0,3,8,0,0,48609,0.2675649733730439,0,513,0.4547248631045395,17,normal,--,1590
,1,1.0,522351.0,1,1.0,142,0,4,0,0,0,48607,0.2675649733730394,0,0,0.45472486310453947,145,normal,--,1601
,1,1.0,695104.0,1,1.0,377,2,10,62,0,0,47951,0.2625993121755874,2,3989,0.45195415610812106,524,normal,--,1701
,1,1.0,82244.0,0,1.0,6,0,5,0,0,0,49383,0.5962962962962962,0,0,0.2316960442650133,6,normal,--,1704
,1,1.0,25730.0,0,1.0,0,0,8,0,0,0,49523,0.22781583699426805,0,0,0.39059912309912254,252,normal,--,1704
,1,1.0,25716.0,0,1.0,31,0,1,0,0,0,49521,0.2268233123631594,0,0,0.3885609930760424,50,normal,--,1706
,1,1.0,25697.0,0,1.0,15,0,4,0,0,0,49519,0.2228275672074102,0,0,0.3802702946770744,20,normal,--,1714
,1,1.0,25650.0,0,1.0,31,0,5,0,0,0,49517,0.2177744304532324,0,0,0.3695852997577126,30,normal,--,1717
,1,1.0,25631.0,1,1.0,58,0,5,0,0,0,49515,0.21265515316562267,1,0,0.3585253927359191,61,normal,--,1815
,1,1.0,0.0,1,1.0,1,0,1,0,0,0,49591,0.23122469214494032,0,0,0.35416610459103154,1,normal,--,1815
,1,1.0,1600.0,0,1.0,0,0,1,0,0,0,49589,0.23594338921569344,0,137,0.26209904033851844,5,normal,--,1815
,1,1.0,0.0,1,1.0,0,0,1,0,0,0,49587,0.23536368010280684,0,0,0.26159808924574085,5,normal,--,1815
,1,1.0,103448.0,0,1.0,1,3,3,1,0,0,49251,1.0,3,1668,0.7339975845410617,82,normal,P3,1822
,1,1.0,19475.0,0,1.0,1,0,1,0,0,0,49477,0.8338164251207736,0,0,0.49554497566792755,1,normal,--,1822
,1,1.0,18708.0,0,1.0,10,0,3,10,0,0,49455,0.528605081608613,0,5806,0.9470198675496688,39,normal,P2,1825
,1,1.0,12117.0,1,1.0,1,0,1,1,0,0,49479,0.8313725490196084,0,1524,0.49422517360873625,1,normal,--,1825
,1,1.0,211250.0,0,1.0,0,0,2,0,0,0,48945,0.7497153209109729,0,903,0.8262626262626264,46,normal,P2,1825
,1,1.0,211139.0,0,1.0,4,0,1,1,0,0,48943,0.7469649398220825,0,342,0.8235897435897442,2,normal,P2,1825
,1,1.0,68764.0,0,0.5,1,0,1,1,0,0,49337,0.3888888888888889,0,93,0.4030915925450884,4,normal,--,1825
,1,1.0,68764.0,0,0.5,1,0,1,0,0,0,49335,0.3888888888888889,0,0,0.4030915925450884,4,normal,--,1825
,1,1.0,1310.0,0,1.0,1,0,1,1,0,0,49489,0.4814323159259865,0,311,0.7658730158730156,1,normal,--,1825
,1,1.0,0.0,1,1.0,1,0,1,0,0,0,49487,0.47978606930987844,0,0,0.760162601626016,1,normal,--,1825
,1,1.0,18.0,1,1.0,23,0,2,0,0,0,49461,0.21670615668724919,0,0,0.2158641112223345,0,normal,--,1825
,1,1.0,77614.0,1,1.0,1,0,3,0,0,0,49249,1.0,0,0,0.7280864197530853,82,normal,P3,1828
,1,1.0,559.0,1,1.0,10,0,3,0,0,0,49453,0.5241496598639438,0,0,0.9459459459459459,39,normal,P2,1832
,1,1.0,1878.0,0,1.0,0,0,1,0,0,0,49437,0.45270155619672275,0,118,0.5626307922272035,27,normal,--,1832
,1,1.0,693222.0,1,1.0,46,0,13,0,0,0,47613,0.4490603690066313,0,0,0.5355555555555526,67,normal,--,1832
,1,1.0,692682.0,1,1.0,0,0,1,0,0,0,47623,0.44736342969145465,0,0,0.30585809245743767,1,normal,--,1832
,1,1.0,692683.0,1,1.0,6,0,5,0,0,0,47621,0.4473634296914596,1,0,0.30585809245745305,12,normal,--,1832
,1,1.0,692682.0,1,1.0,21,0,1,0,0,0,47619,0.4470795896450712,0,0,0.30560540155552923,8,normal,--,1832
,1,1.0,692682.0,1,1.0,14,0,3,14,0,0,47615,0.4453704075419686,0,162,0.304085384193012,14,normal,--,1832
,1,1.0,692682.0,1,1.0,5,0,3,5,0,0,47617,0.4453704075419686,0,181,0.304085384193012,5,normal,--,1832
,1,1.0,169619.0,0,1.0,5,0,3,0,0,0,48947,0.46016483516483336,0,0,0.1549182599057914,5,normal,P2,1835
,1,1.0,258.0,1,1.0,0,0,1,0,0,0,49419,0.3113461793139961,0,14135,0.3724699173443926,21,normal,--,1838
,1,1.0,526923.0,1,1.0,64,22,2,15,0,0,48347,1.0,25,12436,0.8130023640661942,45,normal,--,1850
,1,1.0,526867.0,1,1.0,66,0,5,0,0,0,48345,1.0,0,0,0.8061274509803924,63,normal,--,1873
,1,1.0,526866.0,1,1.0,2,18,3,2,0,0,48349,1.0,18,4991,0.8017543859649111,18,normal,--,1873
,2,1.0,5381.0,1,1.0,1,0,2,0,0,0,49407,0.309700650471258,0,0,0.28002090973428445,32,normal,--,1939
,2,1.0,5380.0,1,1.0,1,0,2,1,0,0,49409,0.30804723885561974,0,18061,0.27818188268379723,11,normal,--,1940
,1,1.0,24480.0,0,1.0,0,0,3,0,0,0,49357,0.8629032258064516,0,12186,0.6984335839598984,45,normal,--,1944
,1,1.0,20160.0,0,1.0,116,0,3,0,0,0,49381,0.8574938574938575,11,0,0.44476984573733797,196,normal,--,1956
,1,1.0,159774.0,1,1.0,5,0,3,3,0,0,48949,0.4441301272984423,0,4689,0.15174523710193333,5,normal,P2,1957
,1,1.0,2466386.0,0,1.0,1,0,1,1,0,0,43229,0.18956344512967876,0,5261,0.30010507357161487,1,normal,P1,1957
